127.0.0.1 - - [26/Jan/2024:15:34:47 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [26/Jan/2024:15:34:48 +0530] "GET /spring-mvc-demo/ HTTP/1.1" 200 100
0:0:0:0:0:0:0:1 - - [26/Jan/2024:15:34:48 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [26/Jan/2024:15:34:54 +0530] "GET /spring-mvc-demo/open-home HTTP/1.1" 200 733
0:0:0:0:0:0:0:1 - - [26/Jan/2024:15:34:57 +0530] "GET /spring-mvc-demo/open-register HTTP/1.1" 200 1018
0:0:0:0:0:0:0:1 - - [26/Jan/2024:15:35:44 +0530] "POST /spring-mvc-demo/register HTTP/1.1" 500 5825
0:0:0:0:0:0:0:1 - - [26/Jan/2024:15:43:12 +0530] "POST /spring-mvc-demo/register HTTP/1.1" 500 5825
0:0:0:0:0:0:0:1 - - [26/Jan/2024:15:43:15 +0530] "GET /spring-mvc-demo/open-register HTTP/1.1" 200 1022
0:0:0:0:0:0:0:1 - - [26/Jan/2024:15:43:40 +0530] "POST /spring-mvc-demo/register HTTP/1.1" 500 5825
0:0:0:0:0:0:0:1 - - [26/Jan/2024:15:43:42 +0530] "GET /spring-mvc-demo/open-register HTTP/1.1" 200 1022
0:0:0:0:0:0:0:1 - - [26/Jan/2024:15:43:44 +0530] "GET /spring-mvc-demo/open-register HTTP/1.1" 200 1022
0:0:0:0:0:0:0:1 - - [26/Jan/2024:15:43:45 +0530] "GET /spring-mvc-demo/open-register HTTP/1.1" 200 1022
0:0:0:0:0:0:0:1 - - [26/Jan/2024:15:44:13 +0530] "POST /spring-mvc-demo/register HTTP/1.1" 500 5825
0:0:0:0:0:0:0:1 - - [26/Jan/2024:15:50:04 +0530] "GET /spring-mvc-demo/open-register HTTP/1.1" 200 1022
0:0:0:0:0:0:0:1 - - [26/Jan/2024:15:51:02 +0530] "POST /spring-mvc-demo/register HTTP/1.1" 500 5825
0:0:0:0:0:0:0:1 - - [26/Jan/2024:15:54:52 +0530] "GET /spring-mvc-demo/open-register HTTP/1.1" 200 1022
0:0:0:0:0:0:0:1 - - [26/Jan/2024:15:54:54 +0530] "GET /spring-mvc-demo/open-register HTTP/1.1" 200 1022
0:0:0:0:0:0:0:1 - - [26/Jan/2024:15:55:19 +0530] "POST /spring-mvc-demo/register HTTP/1.1" 200 208
